image, mf,amf,namf,proposed1,proposed2,proposed3,proposed4,proposed5
noiseimage/[test26]_origin_0.60.png,11.439,21.704,20.593,21.891,21.912,20.634,20.855,21.828
noiseimage/[test26]_origin_0.70.png,9.266,20.293,19.808,20.416,20.448,19.843,20.004,20.662
noiseimage/[test26]_origin_0.80.png,7.619,18.813,19.069,18.853,18.884,19.101,19.201,19.466
noiseimage/[test26]_origin_0.90.png,6.254,16.956,17.865,16.919,16.939,17.881,17.904,17.695
noiseimage/[test27]_origin_0.10.png,29.727,35.577,32.447,36.081,36.235,32.550,33.582,35.568
noiseimage/[test27]_origin_0.20.png,26.355,33.366,30.324,33.824,33.963,30.450,31.164,33.268
noiseimage/[test27]_origin_0.30.png,22.156,31.691,28.872,32.123,32.219,28.981,29.491,31.623
noiseimage/[test27]_origin_0.40.png,18.007,30.254,27.597,30.633,30.701,27.691,28.098,30.264
noiseimage/[test27]_origin_0.50.png,14.738,28.781,26.559,29.067,29.115,26.627,26.960,28.846
noiseimage/[test27]_origin_0.60.png,11.576,27.395,25.800,27.616,27.649,25.851,26.117,27.739
noiseimage/[test27]_origin_0.70.png,9.365,25.924,24.954,26.099,26.135,24.993,25.214,26.558
noiseimage/[test27]_origin_0.80.png,7.486,23.984,23.913,24.094,24.130,23.951,24.097,24.868
noiseimage/[test27]_origin_0.90.png,6.029,21.698,22.379,21.703,21.723,22.416,22.464,22.559
noiseimage/[test28]_origin_0.10.png,23.474,32.057,31.518,32.616,32.780,31.689,32.116,32.115
noiseimage/[test28]_origin_0.20.png,21.798,28.913,27.984,29.420,29.526,28.110,28.511,28.994
noiseimage/[test28]_origin_0.30.png,19.787,27.012,26.029,27.487,27.578,26.127,26.459,27.148
noiseimage/[test28]_origin_0.40.png,16.978,25.538,24.544,25.963,26.038,24.628,24.899,25.718
noiseimage/[test28]_origin_0.50.png,14.219,24.086,23.370,24.421,24.482,23.428,23.642,24.409
noiseimage/[test28]_origin_0.60.png,11.693,22.972,22.550,23.256,23.306,22.592,22.767,23.489
noiseimage/[test28]_origin_0.70.png,9.453,21.514,21.603,21.697,21.741,21.636,21.767,22.251
noiseimage/[test28]_origin_0.80.png,7.688,20.136,20.757,20.253,20.298,20.787,20.868,21.066
noiseimage/[test28]_origin_0.90.png,6.366,18.471,19.570,18.503,18.531,19.600,19.616,19.401
noiseimage/[test29]_origin_0.10.png,31.800,39.470,37.973,39.781,39.816,38.203,38.668,39.479
noiseimage/[test29]_origin_0.20.png,27.952,36.227,34.688,36.521,36.509,34.859,35.210,36.282
noiseimage/[test29]_origin_0.30.png,23.459,34.120,32.621,34.377,34.367,32.738,33.010,34.166
noiseimage/[test29]_origin_0.40.png,18.860,33.040,31.485,33.302,33.290,31.589,31.824,33.163
noiseimage/[test29]_origin_0.50.png,15.284,31.327,30.261,31.542,31.536,30.313,30.499,31.644
noiseimage/[test29]_origin_0.60.png,12.227,29.806,29.224,29.965,30.007,29.250,29.405,30.298
noiseimage/[test29]_origin_0.70.png,9.997,28.458,28.419,28.567,28.645,28.415,28.549,29.261
noiseimage/[test29]_origin_0.80.png,8.081,26.949,27.445,27.020,27.126,27.436,27.535,27.953
noiseimage/[test29]_origin_0.90.png,6.596,24.730,25.810,24.702,24.785,25.820,25.850,25.703
noiseimage/[test30]_origin_0.10.png,26.714,33.056,30.103,33.488,33.527,30.195,31.753,33.057
noiseimage/[test30]_origin_0.20.png,24.468,30.856,27.830,31.302,31.342,27.932,29.005,30.739
noiseimage/[test30]_origin_0.30.png,21.293,29.250,26.306,29.675,29.694,26.392,27.142,29.050
noiseimage/[test30]_origin_0.40.png,18.032,27.786,25.131,28.151,28.149,25.194,25.719,27.610
